# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,16.60771593949426,0,3.0,0.3695150821476738,-20.053142496455823,0.0,0.028414773025696075
 0.11493939947884163,1.0189899309467267,3.005663929021884,16.60771593949426,0.3448181984365249,3.0,0.3695150821476738,-20.049876519507922,8.798812080185817,0.2050234482394245
 0.1627262023651695,1.038020521381014,3.0114924018153286,17.028183038003938,0.48817860709550853,3.0000000000000013,0.36214567237981377,-20.04007910439983,11.250079596438997,0.44381254692565614
 0.1995149462976094,1.0570910061416787,3.0174841069856555,17.4420593354969,0.5985448388928283,3.0,0.3549384013065777,-20.023751798256978,13.093247586733819,0.734519921934158
 0.23062998923140027,1.0762006200675374,3.0236377331381896,17.84945629630088,0.6918899676942009,3.0,0.3478909773375534,-20.00089717935027,14.58225728827023,1.0682595573817375
 0.2581310983563175,1.0953485979974065,3.0299519688782532,18.250484545273217,0.7743932950689525,3.0,0.3410010068351269,-19.97151885668898,15.827331105880457,1.4392201623916856
 0.28307334706586756,1.1145341747701027,3.0364255028111704,18.645253774124484,0.8492200411976027,3.0,0.33426600857181105,-19.93562146945081,16.88959498825792,1.8431964666299394
 0.3060827136577015,1.133756585224443,3.0430570235422643,19.033872656796913,0.9182481409731047,3.000000000000005,0.32768342723726673,-19.893210686249347,17.80763933308718,2.276945263627386
 0.327566533577254,1.1530150641992432,3.049845219676858,19.416448773421298,0.9826996007317622,3.0,0.3212506457952835,-19.844293204238898,18.60791792518311,2.737854452993659
 0.3478073670961317,1.172308846533321,3.0567887798202746,19.793088542277868,1.0434221012883953,3.0000000000000027,0.314964996986087,-19.788876748056936,19.3096361539009,3.2237531732864015
 0.3670106609356265,1.191637167065492,3.063886392577838,20.16389715927496,1.1010319828068797,3.0,0.3088237738144607,-19.726970068604313,19.92734085455768,3.732793957790805
 0.3853312882497157,1.2109992606345734,3.071136746554871,20.52897854443213,1.1559938647491472,2.999999999999997,0.30282423916242407,-19.658582941663344,20.47241507223002,4.263375143094521
 0.4028893901752375,1.230394362079382,3.0785385303566972,20.888435294931938,1.2086681705257127,3.000000000000003,0.2969636346509753,-19.583726166354154,20.953998514399352,4.814087375847714
 0.4197803596521895,1.2498217062387336,3.086090432588639,21.242368644258757,1.2593410789565689,3.0000000000000067,0.29123918867150794,-19.50241156342933,21.37958398850365,5.383675346826272
 0.4360814150406358,1.2692805279514459,3.093791141856022,21.590878427037293,1.3082442451219076,2.9999999999999933,0.2856481236908745,-19.414651973407302,21.75542016561299,5.971009575479212
 0.45185608725845217,1.2887700620563347,3.101639346764167,21.93406304911071,1.3555682617753566,2.999999999999993,0.2801876629166735,-19.320461254544675,22.086793027165317,6.575065070821685
 0.46715737672299246,1.3082895433922168,3.109633735918399,22.27201946256276,1.4014721301689774,2.9999999999999964,0.27485503631649943,-19.219854280647844,22.378228283128323,7.194904841135541
 0.48203003234336683,1.3278382067979093,3.1177729979240407,22.604843145211845,1.4460900970301007,3.000000000000011,0.269647486004098,-19.11284693872427,22.633640602185935,7.829666911838021
 0.49651223363332514,1.3474152871122282,3.126055821386415,22.932628084337274,1.4895367008999756,2.999999999999996,0.2645622711341395,-18.999456126473707,22.856446002287505,8.478553938510077
 0.5106368565020778,1.3670200191739905,3.134480894910846,23.255466764239596,1.5319105695062336,3.000000000000004,0.2595966723011576,-18.879699749619874,23.049648103202216,9.140824777252822
 0.5244324420876082,1.3866516378220126,3.1430469071026566,23.57345015736368,1.573297326262825,3.000000000000008,0.25474799534751175,-18.753596719082946,23.215905424936327,9.815787556689484
 0.5379239495519706,1.4063093778951115,3.15175254656717,23.886667718696142,1.6137718486559123,3.0,0.2500135748997166,-18.621166947993274,23.35758467806917,10.502793919618249
 0.551133348927812,1.4259924742321033,3.1605965019097098,24.19520738316379,1.6534000467834362,3.0,0.2453907773211048,-18.48243134854688,23.476803522620656,11.20123418816037
 0.5640800936710803,1.4457001616718048,3.169577461735599,24.499155565759022,1.692240281013241,3.0,0.2408770034695529,-18.337411828703196,23.57546529306976,11.910533267022549
 0.5767815014574575,1.465431675053033,3.178694114650161,24.798597164199887,1.730344504372373,3.000000000000009,0.23646969097808127,-18.18613128872553,23.655287499859373,12.630147143261324
 0.5892530640904186,1.485186249214604,3.1879451492587196,25.093615563855078,1.7677591922712563,3.0000000000000178,0.23216631628376982,-18.028613617564833,23.717825458356707,13.35955987300214
 0.6015087020031852,1.5049631189953347,3.1973292541665974,25.384292644750897,1.8045261060095563,3.000000000000009,0.2279643963544078,-17.864883689087392,23.764492054622732,14.09828096938392
 0.613560974993733,1.5247615192340416,3.206845117979119,25.670708790474915,1.8406829249811998,3.0000000000000093,0.22386149006922837,-17.694967358146933,23.79657441202641,14.845843123887892
 0.6254212580491142,1.5445806847695416,3.216491429301606,25.952942898749992,1.8762637741473434,2.9999999999999907,0.21985519954598484,-17.518891456501837,23.815248060230367,15.601800206882489
 0.6370998890729462,1.5644198504406512,3.2262668767393823,26.23107239358645,1.9112996672188396,3.0000000000000093,0.21594317103821736,-17.33668378857811,23.82158905288218,16.36572550371302
 0.648606293812329,1.584278251086187,3.236170148897772,26.50517323876417,1.9458188814369881,3.0000000000000098,0.21212309571614102,-17.14837312707875,23.816584409264635,17.137210150847785
